media_name,year,article_count,political_bias_mean,political_bias_median,political_bias_high_pct,gender_bias_mean,gender_bias_median,gender_bias_high_pct,religious_bias_mean,religious_bias_median,religious_bias_high_pct,caste_bias_mean,caste_bias_median,caste_bias_high_pct,region_bias_mean,region_bias_median,region_bias_high_pct,overall_bias_mean,political_bias_ma_5y,gender_bias_ma_5y,religious_bias_ma_5y,caste_bias_ma_5y,region_bias_ma_5y,overall_bias_ma_5y
THE ECONOMIC TIMES,2020,300,0.4674833333492279,0.5,41.66666666666667,0.42383000296851,0.4169999957084656,31.0,0.11608000010252,0.0,0.33333333333333337,0.9641400001446406,1.0,94.66666666666667,0.4316000007589658,0.5,7.000000000000001,0.48062666746477284,0.4674833333492279,0.42383000296851,0.11608000010252,0.9641400001446406,0.4316000007589658,0.48062666746477284
THE ECONOMIC TIMES,2021,227,0.5300969161126057,0.5,48.01762114537445,0.4518414115951712,0.449999988079071,33.92070484581498,0.10554185050174528,0.0,0.881057268722467,0.982370044166296,1.0,97.3568281938326,0.4317092515429736,0.5,4.405286343612335,0.5003118947837584,0.4987901247309168,0.4378357072818406,0.11081092530213263,0.9732550221554683,0.4316546261509697,0.4904692811242656
THE ECONOMIC TIMES,2022,25956,0.44952989675277993,0.5,39.75188781014023,0.44982254716904546,0.4289999902248382,32.87871783017414,0.12008225492585384,0.0,1.5911542610571736,0.9733725921976389,1.0,96.37463399599322,0.43894039974733784,0.5,2.955000770534751,0.4863495381585312,0.4823700487382045,0.4418313205775755,0.1139013685100397,0.9732942121695252,0.4340832173497591,0.4890960334690208
THE ECONOMIC TIMES,2023,2070,0.4528589372329666,0.5,39.27536231884058,0.44682222351539824,0.4289999902248382,32.89855072463768,0.11822801973076834,0.0,1.6908212560386473,0.9751091788356431,1.0,96.61835748792271,0.445469565703961,0.5,3.1884057971014492,0.4876975850037475,0.474992270861895,0.4430790463120312,0.11498303131522186,0.9737479538360547,0.4369298044383096,0.48874642135270246
THE INDIAN EXPRESS,1998,7218,0.3362669714329876,0.0,30.991964533111666,0.4550860364090194,0.4289999902248382,32.7930174563591,0.17630063766862886,0.0,1.5793848711554446,0.9126765034322792,1.0,89.02743142144638,0.3828193413547348,0.5,4.8074258797450815,0.45262989805953,0.3362669714329876,0.4550860364090194,0.17630063766862886,0.9126765034322792,0.3828193413547348,0.45262989805953
THE INDIAN EXPRESS,1999,7237,0.2106434986936267,0.0,20.03592648887661,0.45073055272209755,0.4289999902248382,31.49094928837916,0.21429252478732774,0.0,1.0501589056238774,0.9075145781867919,1.0,87.97844410667403,0.37254373451054745,0.453000009059906,4.338814425867072,0.4311449777800782,0.27345523506330716,0.4529082945655585,0.1952965812279783,0.9100955408095356,0.37768153793264114,0.4418874379198041
THE INDIAN EXPRESS,2000,7260,0.3268044077003626,0.0,30.454545454545457,0.4487953177686606,0.4289999902248382,32.58953168044077,0.16626115742834804,0.0,1.9008264462809916,0.9371655649184852,1.0,92.01101928374655,0.37002562067828065,0.453000009059906,3.815426997245179,0.44981041369882746,0.2912382926089923,0.45153730229992584,0.18561810662810155,0.9191188821791855,0.375129565514521,0.4445284298461452
THE INDIAN EXPRESS,2001,778,0.33708868890158006,0.0,31.876606683804624,0.44943701906804867,0.449999988079071,32.77634961439589,0.15366452482258447,0.0,1.9280205655526992,0.9620539846334482,1.0,94.98714652956298,0.36680591347744657,0.3700000047683716,4.884318766066838,0.45381002618062166,0.30270089168213926,0.4510122314919566,0.17762971117672227,0.9298526577927512,0.3730486525052524,0.44684882892976435
THE INDIAN EXPRESS,2002,5510,0.502826497229171,0.5,45.80762250453721,0.4511087127009613,0.4289999902248382,32.66787658802178,0.20959491919178497,0.0,4.428312159709619,0.9268571690401018,1.0,90.38112522686026,0.37656043628112373,0.5,2.9764065335753176,0.4933895468886286,0.3427260127915456,0.45103152773375754,0.18402275277973482,0.9292535600422213,0.37375100926042665,0.4561569725215372
THE INDIAN EXPRESS,2003,7279,0.47832408292327283,0.5,43.659843385080364,0.46024371625458677,0.4550000131130218,34.372853413930486,0.20434881242864456,0.0,3.65434812474241,0.9341283145473626,1.0,91.523560928699,0.3732757253774756,0.5,2.830059074048633,0.4900641303062684,0.3711374350896027,0.45206306370287097,0.18963238773173793,0.933543922265238,0.3718422860649748,0.46364381897088486
